date,txn_id,type,category,subcategory,description,amount,payment_method,outlet,note
2025-10-01,T10041,income,Sales - Delivery,ShopeeFood,Cheras - FoodPanda,542.44,TnG eWallet,Cheras,
2025-10-01,T11057,expense,Delivery Platforms,GrabFood Commission,SS15 - FoodPanda Commission,826.22,Credit Card,SS15,check w boss
2025-10-01,T11068,expense,COGS - Ingredients,Flour,SS15 - Coffee Beans,196.23,Bank Transfer,SS15,urgent
2025-10-01,T11148,expense,COGS - Ingredients,Butter,Cheras - Flour,2433.44,Credit Card,Cheras,urgent
2025-10-02,T11026,expense,Delivery Platforms,GrabFood Commission,SS15 - FoodPanda Commission,1376.73,Credit Card,SS15,urgent
2025-10-02,T11043,expense,Utilities,Electricity,SS15 - Electricity,624.65,TnG eWallet,SS15,
2025-10-01,T11103,expense,Utilities,Gas,Bangsar - Water,523.03,Cash,Bangsar,recurring
2025-10-01,T11113,expense,Marketing,Flyers,Bangsar - FB Ads,1068.52,DuitNow,Bangsar,sofi invoice
2025-10-01,T11152,expense,Staff - OT,Weekend,Cheras - Extended Hours,124.38,GrabPay,Cheras,dobule check
2025-10-01,T11158,expense,Equipment,New Fridge,Cheras - Oven Repair,4439,Credit Card,Cheras,urgent
2025-10-02,T10042,income,Sales - Catering,Wedding,SS15 - Event,3428.52,Bank Transfer,SS15,
2025-10-02,T10043,income,Sales - Delivery,ShopeeFood,SS15 - GrabFood,454.83,DuitNow,SS15,urgent
2025-10-02,T10044,income,Sales - Dine In,Coffee,SS15 - Coffee,978.86,GrabPay,SS15,
2025-10-02,T10045,income,Sales - Delivery,FoodPanda,SS15 - GrabFood,1544.73,Credit Card,SS15,check w boss
2025-10-02,T10046,income,Sales - Catering,Corporate Order,SS15 - Event,843.43,Bank Transfer,SS15,
2025-10-02,T10047,income,Other Income,Merchandise,SS15 - Merchandise,1142.35,TnG eWallet,SS15,pending receipt
2025-10-02,T10048,income,Sales - Takeaway,Pastries,SS15 - Pastries,819.25,Cash,SS15,sofi invoice
2025-10-02,T10049,income,Sales - Delivery,ShopeeFood,SS15 - FoodPanda,1501.4,TnG eWallet,SS15,
2025-10-02,T10050,income,Sales - Delivery,GrabFood,SS15 - ShopeeFood,937.43,Cash,SS15,
2025-10-02,T10051,income,Other Income,Merchandise,SS15 - Workshop Ticket,900.04,Cash,SS15,check w boss
2025-10-02,T10052,income,Sales - Dine In,Coffee,SS15 - Cakes,2326.13,Bank Transfer,SS15,check w boss
2025-10-02,T10053,income,Other Income,Gift Card,SS15 - Merchandise,861.91,Bank Transfer,SS15,
2025-10-02,T10054,income,Sales - Dine In,Cakes,SS15 - Coffee,832.87,Credit Card,SS15,
2025-10-02,T10055,income,Sales - Takeaway,Bread Loaf,SS15 - Coffee,745.11,GrabPay,SS15,check w boss
2025-10-02,T10056,income,Sales - Takeaway,Bread Loaf,Bangsar - Bread Loaf,572.86,TnG eWallet,Bangsar,sofi invoice
2025-10-02,T10057,income,Sales - Catering,Event,Bangsar - Corporate Order,7242.18,Bank Transfer,Bangsar,
2025-10-02,T10058,income,Other Income,Workshop Ticket,Bangsar - Workshop Ticket,282.36,DuitNow,Bangsar,
2025-10-02,T10059,income,Sales - Dine In,Pastries,Bangsar - Set Lunch,1341.67,Bank Transfer,Bangsar,
2025-10-02,T10060,income,Sales - Takeaway,Bread Loaf,Bangsar - Bread Loaf,358.19,Credit Card,Bangsar,reimbursed
2025-10-02,T10061,income,Sales - Catering,Corporate Order,Bangsar - Wedding,4659.96,DuitNow,Bangsar,reimbursed
2025-10-02,T10062,income,Other Income,Gift Card,Bangsar - Workshop Ticket,732.34,Cash,Bangsar,reimbursed
2025-10-02,T10063,income,Other Income,Merchandise,Bangsar - Gift Card,734.95,TnG eWallet,Bangsar,reimbursed
2025-10-02,T10064,income,Sales - Takeaway,Bread Loaf,Bangsar - Coffee,42.13,GrabPay,Bangsar,check w boss
2025-10-02,T10065,income,Sales - Delivery,FoodPanda,Bangsar - ShopeeFood,1414.67,GrabPay,Bangsar,
2025-10-02,T10066,income,Sales - Catering,Event,Cheras - Corporate Order,4201.61,Bank Transfer,Cheras,
2025-10-02,T10067,income,Sales - Dine In,Pastries,Cheras - Pastries,1736.16,Bank Transfer,Cheras,
2025-10-02,T10068,income,Other Income,Gift Card,Cheras - Gift Card,967.39,DuitNow,Cheras,pending receipt
2025-10-02,T10069,income,Other Income,Gift Card,Cheras - Gift Card,293.23,GrabPay,Cheras,
2025-10-02,T10070,income,Other Income,Workshop Ticket,Cheras - Workshop Ticket,99.94,Credit Card,Cheras,dobule check
2025-10-02,T10071,income,Sales - Takeaway,Pastries,Cheras - Coffee,652.62,Cash,Cheras,reimbursed
2025-10-02,T10072,income,Sales - Catering,Wedding,Cheras - Wedding,3584.6,Bank Transfer,Cheras,pending receipt
2025-10-02,T10073,income,Other Income,Gift Card,Cheras - Merchandise,637.16,DuitNow,Cheras,
2025-10-02,T10074,income,Sales - Takeaway,Bread Loaf,Cheras - Bread Loaf,362.35,Cash,Cheras,check w boss
2025-10-02,T11081,expense,Rent,Shop Rental,Bangsar rent 2025-10,6301.66,Bank Transfer,Bangsar,recurring
2025-10-02,T11089,expense,COGS - Ingredients,Eggs,Bangsar - Coffee Beans,1876.56,Credit Card,Bangsar,reimbursed
2025-10-03,T10075,income,Sales - Delivery,ShopeeFood,SS15 - FoodPanda,1278.44,Cash,SS15,sofi invoice
2025-10-03,T10076,income,Sales - Dine In,Set Lunch,SS15 - Set Lunch,1794.87,Bank Transfer,SS15,pending receipt
2025-10-03,T10077,income,Sales - Delivery,FoodPanda,SS15 - ShopeeFood,1236.82,Cash,SS15,
2025-10-03,T10078,income,Sales - Takeaway,Bread Loaf,SS15 - Pastries,592.58,TnG eWallet,SS15,
2025-10-03,T10079,income,Sales - Takeaway,Coffee,SS15 - Coffee,598.1,GrabPay,SS15,check w boss
2025-10-03,T10080,income,Sales - Catering,Corporate Order,SS15 - Wedding,5014.76,DuitNow,SS15,urgent
2025-10-03,T10081,income,Sales - Takeaway,Coffee,SS15 - Pastries,100.2,Bank Transfer,SS15,check w boss
2025-10-03,T10082,income,Sales - Takeaway,Bread Loaf,SS15 - Bread Loaf,279.6,Cash,SS15,
2025-10-03,T10083,income,Other Income,Gift Card,SS15 - Workshop Ticket,646.14,Bank Transfer,SS15,check w boss
2025-10-03,T10084,income,Sales - Takeaway,Bread Loaf,SS15 - Coffee,598.27,Bank Transfer,SS15,reimbursed
2025-10-03,T10085,income,Sales - Delivery,GrabFood,Bangsar - GrabFood,756.88,Cash,Bangsar,dobule check
2025-10-03,T10086,income,Sales - Dine In,Cakes,Bangsar - Pastries,1584.3,GrabPay,Bangsar,
2025-10-03,T10087,income,Sales - Delivery,FoodPanda,Bangsar - FoodPanda,684.94,Cash,Bangsar,
2025-10-03,T10088,income,Other Income,Gift Card,Bangsar - Workshop Ticket,1018.8,GrabPay,Bangsar,check w boss
2025-10-03,T10089,income,Sales - Dine In,Cakes,Bangsar - Pastries,2013.88,DuitNow,Bangsar,
2025-10-03,T10090,income,Sales - Catering,Corporate Order,Bangsar - Event,5047.44,Cash,Bangsar,pending receipt
2025-10-03,T10091,income,Other Income,Gift Card,Bangsar - Gift Card,479.13,TnG eWallet,Bangsar,dobule check
2025-10-03,T10092,income,Other Income,Gift Card,Bangsar - Gift Card,750.6,TnG eWallet,Bangsar,recurring
2025-10-03,T10093,income,Sales - Delivery,FoodPanda,Bangsar - GrabFood,191.71,Credit Card,Bangsar,
2025-10-03,T10094,income,Sales - Takeaway,Pastries,Bangsar - Pastries,431.85,DuitNow,Bangsar,recurring
2025-10-03,T10095,income,Sales - Takeaway,Coffee,Bangsar - Coffee,726.92,GrabPay,Bangsar,
2025-10-03,T10096,income,Sales - Dine In,Set Lunch,Bangsar - Coffee,968.22,Bank Transfer,Bangsar,
2025-10-03,T10097,income,Sales - Takeaway,Coffee,Bangsar - Bread Loaf,671.49,TnG eWallet,Bangsar,
2025-10-03,T10098,income,Sales - Catering,Wedding,Cheras - Event,7298.02,Credit Card,Cheras,dobule check
2025-10-03,T10099,income,Sales - Delivery,GrabFood,Cheras - FoodPanda,821.2,TnG eWallet,Cheras,pending receipt
2025-10-03,T10100,income,Other Income,Merchandise,Cheras - Gift Card,1100.58,TnG eWallet,Cheras,
2025-10-03,T10101,income,Sales - Dine In,Coffee,Cheras - Set Lunch,1201.57,Bank Transfer,Cheras,dobule check
2025-10-03,T10102,income,Sales - Delivery,GrabFood,Cheras - FoodPanda,503.28,DuitNow,Cheras,sofi invoice
2025-10-03,T10103,income,Other Income,Workshop Ticket,Cheras - Gift Card,97.24,DuitNow,Cheras,dobule check
2025-10-03,T10104,income,Other Income,Gift Card,Cheras - Gift Card,567.13,GrabPay,Cheras,check w boss
2025-10-03,T10105,income,Sales - Catering,Corporate Order,Cheras - Event,8469.31,Credit Card,Cheras,reimbursed
2025-10-03,T10106,income,Sales - Catering,Corporate Order,Cheras - Corporate Order,8009.76,Cash,Cheras,sofi invoice
2025-10-03,T10107,income,Other Income,Merchandise,Cheras - Gift Card,134.42,GrabPay,Cheras,urgent
2025-10-03,T11029,expense,Admin,Stationery,SS15 - Bank Charge,1051.22,Bank Transfer,SS15,
2025-10-03,T11076,expense,Delivery Platforms,FoodPanda Commission,SS15 - FoodPanda Commission,477.75,DuitNow,SS15,reimbursed
2025-10-03,T11090,expense,Utilities,Electricity,Bangsar - Electricity,1235.28,DuitNow,Bangsar,recurring
2025-10-03,T11096,expense,COGS - Ingredients,Dairy,Bangsar - Flour,1228.74,Bank Transfer,Bangsar,pending receipt
2025-10-03,T11099,expense,Admin,Stationery,Bangsar - Stationery,334.76,Bank Transfer,Bangsar,dobule check
2025-10-03,T11119,expense,COGS - Ingredients,Dairy,Bangsar - Dairy,873.08,Credit Card,Bangsar,pending receipt
2025-10-02,T11174,expense,Admin,Stationery,Cheras - Stationery,207.11,DuitNow,Cheras,recurring
2025-10-03,T11124,expense,Admin,Accountant Fee,Bangsar - Bank Charge,560.77,Bank Transfer,Bangsar,
2025-10-03,T11135,expense,Delivery Platforms,FoodPanda Commission,Bangsar - GrabFood Commission,365.15,Bank Transfer,Bangsar,recurring
2025-10-03,T11155,expense,COGS - Ingredients,Butter,Cheras - Butter,2127.23,Credit Card,Cheras,check w boss
2025-10-04,T10108,income,Sales - Dine In,Pastries,SS15 - Coffee,1784.59,DuitNow,SS15,
2025-10-04,T10109,income,Sales - Dine In,Cakes,SS15 - Coffee,1297.95,Bank Transfer,SS15,pending receipt
2025-10-04,T10110,income,Sales - Dine In,Pastries,SS15 - Coffee,415.33,DuitNow,SS15,urgent
2025-10-04,T10111,income,Sales - Catering,Event,SS15 - Wedding,3370.68,Bank Transfer,SS15,
2025-10-04,T10112,income,Sales - Delivery,GrabFood,SS15 - FoodPanda,327.47,GrabPay,SS15,
2025-10-04,T10113,income,Sales - Dine In,Pastries,SS15 - Cakes,1084.12,Credit Card,SS15,
2025-10-04,T10114,income,Sales - Takeaway,Pastries,SS15 - Bread Loaf,731.14,TnG eWallet,SS15,recurring
2025-10-04,T10115,income,Sales - Catering,Wedding,SS15 - Event,2330.85,Credit Card,SS15,
2025-10-04,T10116,income,Sales - Dine In,Pastries,SS15 - Cakes,2015.88,GrabPay,SS15,
2025-10-04,T10117,income,Sales - Catering,Corporate Order,SS15 - Event,4157.27,Bank Transfer,SS15,recurring
2025-10-04,T10118,income,Other Income,Gift Card,SS15 - Merchandise,381.5,Bank Transfer,SS15,
2025-10-04,T10119,income,Sales - Takeaway,Bread Loaf,Bangsar - Bread Loaf,273.45,Bank Transfer,Bangsar,
2025-10-04,T10120,income,Sales - Catering,Event,Bangsar - Event,5994.9,Bank Transfer,Bangsar,
2025-10-04,T10121,income,Other Income,Gift Card,Bangsar - Workshop Ticket,421.65,GrabPay,Bangsar,
2025-10-04,T10122,income,Sales - Catering,Event,Bangsar - Wedding,5726.48,TnG eWallet,Bangsar,sofi invoice
2025-10-04,T10123,income,Sales - Dine In,Pastries,Bangsar - Cakes,658.39,Credit Card,Bangsar,
2025-10-04,T10124,income,Other Income,Merchandise,Bangsar - Gift Card,105.09,Bank Transfer,Bangsar,dobule check
2025-10-04,T10125,income,Sales - Delivery,FoodPanda,Bangsar - GrabFood,556.52,Cash,Bangsar,reimbursed
2025-10-04,T10126,income,Sales - Takeaway,Coffee,Bangsar - Pastries,673.34,GrabPay,Bangsar,pending receipt
2025-10-04,T10127,income,Sales - Dine In,Coffee,Bangsar - Cakes,1544.4,TnG eWallet,Bangsar,pending receipt
2025-10-04,T10128,income,Sales - Takeaway,Bread Loaf,Cheras - Pastries,117.67,TnG eWallet,Cheras,sofi invoice
2025-10-04,T10129,income,Sales - Dine In,Coffee,Cheras - Cakes,2363.32,Bank Transfer,Cheras,
2025-10-04,T10130,income,Sales - Delivery,ShopeeFood,Cheras - GrabFood,1218.22,Cash,Cheras,
2025-10-04,T10131,income,Sales - Takeaway,Coffee,Cheras - Bread Loaf,497.08,DuitNow,Cheras,sofi invoice
2025-10-04,T10132,income,Sales - Delivery,ShopeeFood,Cheras - FoodPanda,1495.42,Cash,Cheras,
2025-10-04,T10133,income,Other Income,Gift Card,Cheras - Workshop Ticket,1024.1,Cash,Cheras,check w boss
2025-10-04,T10134,income,Other Income,Workshop Ticket,Cheras - Gift Card,796.27,Cash,Cheras,urgent
2025-10-04,T10135,income,Sales - Catering,Wedding,Cheras - Event,5378.87,Cash,Cheras,check w boss
2025-10-04,T11058,expense,Delivery Platforms,GrabFood Commission,SS15 - GrabFood Commission,1128.32,Credit Card,SS15,dobule check
2025-10-04,T11122,expense,Marketing,IG Ads,Bangsar - IG Ads,1528.76,DuitNow,Bangsar,
2025-10-04,T11132,expense,COGS - Ingredients,Butter,Bangsar - Eggs,1118.36,Cash,Bangsar,check w boss
2025-10-04,T11140,expense,Rent,Shop Rental,Cheras rent 2025-10,4668.45,Bank Transfer,Cheras,recurring
2025-10-05,T10136,income,Other Income,Workshop Ticket,SS15 - Merchandise,295.24,Credit Card,SS15,reimbursed
2025-10-05,T10137,income,Sales - Delivery,ShopeeFood,SS15 - GrabFood,925.29,Credit Card,SS15,check w boss
2025-10-05,T10138,income,Sales - Catering,Corporate Order,SS15 - Wedding,7922.1,Bank Transfer,SS15,pending receipt
2025-10-05,T10139,income,Sales - Dine In,Pastries,SS15 - Pastries,2249.55,Credit Card,SS15,check w boss
2025-10-05,T10140,income,Sales - Takeaway,Bread Loaf,SS15 - Bread Loaf,191.28,Bank Transfer,SS15,reimbursed
2025-10-05,T10141,income,Sales - Dine In,Coffee,SS15 - Set Lunch,1904.46,Cash,SS15,
2025-10-05,T10142,income,Other Income,Workshop Ticket,SS15 - Workshop Ticket,906.08,Cash,SS15,urgent
2025-10-05,T10143,income,Other Income,Workshop Ticket,SS15 - Workshop Ticket,304.26,Cash,SS15,
2025-10-05,T10144,income,Sales - Delivery,ShopeeFood,Bangsar - GrabFood,1422.11,GrabPay,Bangsar,
2025-10-05,T10145,income,Sales - Takeaway,Pastries,Bangsar - Bread Loaf,721.22,TnG eWallet,Bangsar,reimbursed
2025-10-05,T10146,income,Sales - Takeaway,Coffee,Bangsar - Bread Loaf,426.36,DuitNow,Bangsar,dobule check
2025-10-05,T10147,income,Sales - Catering,Corporate Order,Bangsar - Wedding,1164.55,Bank Transfer,Bangsar,
2025-10-05,T10148,income,Sales - Takeaway,Bread Loaf,Bangsar - Pastries,431.48,GrabPay,Bangsar,
2025-10-05,T10149,income,Other Income,Workshop Ticket,Bangsar - Merchandise,673.62,Credit Card,Bangsar,
2025-10-05,T10150,income,Sales - Catering,Wedding,Bangsar - Corporate Order,1998.72,DuitNow,Bangsar,dobule check
2025-10-05,T10151,income,Sales - Delivery,FoodPanda,Bangsar - GrabFood,468.05,Credit Card,Bangsar,urgent
2025-10-05,T10152,income,Sales - Catering,Wedding,Bangsar - Wedding,8069.94,TnG eWallet,Bangsar,
2025-10-05,T10153,income,Sales - Dine In,Cakes,Bangsar - Pastries,582.6,TnG eWallet,Bangsar,
2025-10-05,T10154,income,Sales - Delivery,FoodPanda,Bangsar - ShopeeFood,1468.89,Bank Transfer,Bangsar,urgent
2025-10-05,T10155,income,Other Income,Gift Card,Cheras - Merchandise,747.65,TnG eWallet,Cheras,
2025-10-05,T10156,income,Sales - Takeaway,Pastries,Cheras - Pastries,63.11,GrabPay,Cheras,
2025-10-05,T10157,income,Sales - Delivery,ShopeeFood,Cheras - FoodPanda,537.46,Cash,Cheras,
2025-10-05,T10158,income,Sales - Dine In,Pastries,Cheras - Coffee,1048.73,Bank Transfer,Cheras,recurring
2025-10-05,T10159,income,Other Income,Merchandise,Cheras - Workshop Ticket,336.06,Credit Card,Cheras,urgent
2025-10-05,T10160,income,Other Income,Gift Card,Cheras - Workshop Ticket,937.81,Bank Transfer,Cheras,check w boss
2025-10-05,T10161,income,Sales - Takeaway,Pastries,Cheras - Bread Loaf,698.48,Credit Card,Cheras,
2025-10-05,T10162,income,Sales - Catering,Event,Cheras - Corporate Order,888.18,TnG eWallet,Cheras,
2025-10-05,T10163,income,Sales - Dine In,Cakes,Cheras - Cakes,1211.04,Bank Transfer,Cheras,
2025-10-05,T10164,income,Sales - Delivery,FoodPanda,Cheras - FoodPanda,808.97,Cash,Cheras,
2025-10-05,T10165,income,Sales - Catering,Corporate Order,Cheras - Corporate Order,3349.41,DuitNow,Cheras,recurring
2025-10-05,T10166,income,Sales - Delivery,GrabFood,Cheras - ShopeeFood,1375.22,GrabPay,Cheras,pending receipt
2025-10-05,T10167,income,Sales - Delivery,ShopeeFood,Cheras - FoodPanda,382.91,DuitNow,Cheras,
2025-10-05,T11018,expense,Rent,Shop Rental,SS15 rent 2025-10,5446.79,Bank Transfer,SS15,recurring
2025-10-05,T11047,expense,Utilities,Gas,SS15 - Water,395.67,TnG eWallet,SS15,dobule check
2025-10-05,T11088,expense,COGS - Packaging,Boxes,Bangsar - Cups,608.21,Bank Transfer,Bangsar,reimbursed
2025-10-05,T11168,expense,COGS - Ingredients,Flour,Cheras - Sugar,2901.78,Credit Card,Cheras,reimbursed
2025-10-05,T11184,expense,Delivery Platforms,GrabFood Commission,Cheras - GrabFood Commission,1223.37,DuitNow,Cheras,
2025-10-05,T11197,expense,COGS - Packaging,Bags,Cheras - Bags,159.5,Bank Transfer,Cheras,check w boss
2025-10-06,T10168,income,Sales - Dine In,Pastries,SS15 - Coffee,1577.57,Cash,SS15,
2025-10-06,T10169,income,Sales - Catering,Event,SS15 - Corporate Order,3391.74,TnG eWallet,SS15,
2025-10-06,T10170,income,Sales - Takeaway,Bread Loaf,SS15 - Bread Loaf,106.56,TnG eWallet,SS15,recurring
2025-10-06,T10171,income,Sales - Dine In,Pastries,SS15 - Cakes,904.81,Cash,SS15,dobule check
2025-10-06,T10172,income,Sales - Delivery,GrabFood,SS15 - GrabFood,284.83,GrabPay,SS15,
2025-10-06,T10173,income,Sales - Catering,Event,SS15 - Wedding,6451.38,Cash,SS15,
2025-10-06,T10174,income,Sales - Takeaway,Coffee,SS15 - Bread Loaf,414.3,DuitNow,SS15,
2025-10-06,T10175,income,Sales - Takeaway,Coffee,SS15 - Coffee,276.03,TnG eWallet,SS15,dobule check
2025-10-06,T10176,income,Sales - Delivery,GrabFood,SS15 - ShopeeFood,983.35,DuitNow,SS15,pending receipt
2025-10-06,T10177,income,Sales - Dine In,Cakes,SS15 - Set Lunch,1696.07,DuitNow,SS15,
2025-10-06,T10178,income,Sales - Takeaway,Bread Loaf,SS15 - Bread Loaf,850.37,GrabPay,SS15,urgent
2025-10-06,T10179,income,Sales - Catering,Wedding,SS15 - Corporate Order,3049.32,TnG eWallet,SS15,
2025-10-06,T10180,income,Sales - Catering,Event,SS15 - Corporate Order,5599.04,Cash,SS15,reimbursed
2025-10-06,T10181,income,Sales - Catering,Event,SS15 - Wedding,5509.9,TnG eWallet,SS15,dobule check
2025-10-06,T10182,income,Sales - Delivery,ShopeeFood,Bangsar - ShopeeFood,1385.41,GrabPay,Bangsar,check w boss
2025-10-06,T10183,income,Sales - Delivery,FoodPanda,Bangsar - GrabFood,701.41,GrabPay,Bangsar,reimbursed
2025-10-06,T10184,income,Sales - Delivery,FoodPanda,Bangsar - GrabFood,1313.26,TnG eWallet,Bangsar,
2025-10-06,T10185,income,Other Income,Gift Card,Bangsar - Merchandise,933.18,Cash,Bangsar,
2025-10-06,T10186,income,Sales - Delivery,FoodPanda,Bangsar - ShopeeFood,198.37,Bank Transfer,Bangsar,
2025-10-06,T10187,income,Sales - Takeaway,Coffee,Bangsar - Pastries,739.68,Bank Transfer,Bangsar,urgent
2025-10-06,T10188,income,Other Income,Workshop Ticket,Bangsar - Workshop Ticket,144.23,TnG eWallet,Bangsar,
2025-10-06,T10189,income,Other Income,Gift Card,Bangsar - Merchandise,605.59,DuitNow,Bangsar,pending receipt
2025-10-06,T10190,income,Sales - Takeaway,Coffee,Bangsar - Bread Loaf,846.18,DuitNow,Bangsar,sofi invoice
2025-10-06,T10191,income,Sales - Delivery,ShopeeFood,Bangsar - ShopeeFood,721.56,DuitNow,Bangsar,reimbursed
2025-10-06,T10192,income,Sales - Delivery,FoodPanda,Bangsar - FoodPanda,899.46,Cash,Bangsar,
2025-10-06,T10193,income,Sales - Delivery,FoodPanda,Cheras - GrabFood,1239.72,GrabPay,Cheras,
2025-10-06,T10194,income,Sales - Catering,Corporate Order,Cheras - Event,1915.46,Cash,Cheras,sofi invoice
2025-10-06,T10195,income,Other Income,Workshop Ticket,Cheras - Merchandise,1159.75,Bank Transfer,Cheras,
2025-10-06,T10196,income,Sales - Takeaway,Pastries,Cheras - Bread Loaf,288.27,Credit Card,Cheras,reimbursed
2025-10-06,T10197,income,Sales - Dine In,Pastries,Cheras - Coffee,2180.92,Credit Card,Cheras,recurring
2025-10-06,T10198,income,Sales - Takeaway,Coffee,Cheras - Bread Loaf,395.85,TnG eWallet,Cheras,recurring
2025-10-06,T10199,income,Sales - Dine In,Cakes,Cheras - Coffee,1537.93,TnG eWallet,Cheras,urgent
2025-10-06,T10200,income,Sales - Dine In,Cakes,Cheras - Coffee,1550.15,Bank Transfer,Cheras,
2025-10-06,T10201,income,Sales - Catering,Corporate Order,Cheras - Wedding,8112.9,Credit Card,Cheras,
2025-10-06,T10202,income,Other Income,Workshop Ticket,Cheras - Gift Card,490.51,Credit Card,Cheras,
2025-10-06,T10203,income,Sales - Catering,Corporate Order,Cheras - Corporate Order,4954.65,DuitNow,Cheras,urgent
2025-10-06,T10204,income,Sales - Dine In,Coffee,Cheras - Coffee,2231.13,TnG eWallet,Cheras,
2025-10-06,T10205,income,Other Income,Gift Card,Cheras - Merchandise,119.31,Cash,Cheras,recurring
2025-10-06,T10206,income,Sales - Takeaway,Bread Loaf,Cheras - Pastries,155.5,TnG eWallet,Cheras,check w boss
2025-10-06,T11051,expense,Delivery Platforms,GrabFood Commission,SS15 - FoodPanda Commission,783.82,DuitNow,SS15,
